Production ID,Date,Product Type,Machine ID,Shift,Units Produced,Defects,Production Time Hours,Material Cost Per Unit,Labour Cost Per Hour,Energy Consumption kWh,Operator Count,Maintenance Hours,Down time Hours,Production Volume Cubic Meters,Scrap Rate,Rework Hours,Quality Checks Failed,Average Temperature C,Average Humidity Percent,month,Production per hour,Defect Rate per 100 units produced,down_timr_to_production_time_ratio,down_time_to_production_time_ratio,Maintenance Group
1899-12-31,2018-01-01,Automotive,3,Swing,142,3.0,23.42,38.68,15.38,413.97,1,4.86,1.57,2.34,0.048,1.65,1,22.8,47.2,January,6.063193851409052,2.112676056338028,14.9171974522293,0.06703672075149444,4-5
01-01-1900,2018-01-02,Textiles,8,Night,170,4.0,7.51,21.35,25.36,181.16,2,2.51,0.18,1.52,0.03,1.0028851851851852,1,23.8,37.9,January,22.63648468708389,2.3529411764705883,41.72222222222222,0.023968042609853527,2-3
02-01-1900,2018-01-03,Appliances,11,Swing,182,4.0,20.58,47.54,16.46,452.15,2,0.34,2.88,0.57,0.026,0.26,0,24.5,56.1,January,8.843537414965986,2.197802197802198,7.145833333333333,0.13994169096209913,0-1
03-01-1900,2018-01-04,Appliances,11,Day,133,4.0,21.68,40.21,28.7,485.78,3,4.64,2.23,1.9,0.036,1.0028851851851852,2,22.3,50.8,January,6.134686346863469,3.007518796992481,9.721973094170403,0.10285977859778597,4-5
04-01-1900,2018-01-05,Electronics,14,Night,82,4.0,16.68,38.02,17.2,315.58,1,2.29,0.02,2.25,0.02,0.67,0,23.4,53.9,January,4.916067146282974,4.878048780487805,834.0,0.0011990407673860913,2-3
05-01-1900,2018-01-06,Automotive,1,Night,81,0.0,11.91,10.66,23.25,440.42,2,2.5071666666666665,1.57,0.89,0.047,1.0028851851851852,2,20.6,56.9,January,6.801007556675063,0.0,7.585987261146497,0.13182199832073888,2-3
06-01-1900,2018-01-07,Furniture,20,Swing,78,8.0,22.98,37.66,26.62,367.89,2,2.51,2.83,0.82,0.036,0.86,2,23.1,45.9,January,3.3942558746736293,10.256410256410257,8.120141342756183,0.12315056570931245,2-3
07-01-1900,2018-01-08,Textiles,7,Night,151,5.0,23.16,30.99,27.86,197.62,3,2.1,2.39,0.56,0.039,0.35,1,23.6,59.2,January,6.51986183074266,3.3112582781456954,9.690376569037657,0.10319516407599309,2-3
08-01-1900,2018-01-09,Electronics,16,Night,72,9.0,15.63,16.92,28.3,467.34,2,0.38,0.82,2.02,0.041,0.59,0,20.4,48.3,January,4.606525911708253,12.5,19.0609756097561,0.05246321177223288,0-1
09-01-1900,2018-01-10,Textiles,7,Night,189,7.0,18.15,33.47,23.33,411.71,1,0.62,2.03,2.32,0.042,0.24,0,18.7,49.4,January,10.413223140495868,3.7037037037037037,8.94088669950739,0.1118457300275482,0-1
10-01-1900,2018-01-11,Textiles,8,Day,124,2.0,21.26,14.22,18.58,456.52,4,0.56,2.3,1.48,0.04,1.36,0,20.0,31.7,January,5.832549388523048,1.6129032258064515,9.243478260869567,0.1081843838193791,0-1
